"Latin","Français"
"I. Gallia omnis est divisa in tres partes, quarum Belgæ incolunt unam, Aquitani aliam, qui appellantur Celtæ lingua ipsorum, Galli nostra, tertiam.","La Gaule tout-entière est divisée en trois parties, desquelles les Belges habitent une, les Aquitains une autre, ceux qui sont appelés Celtes dans la langue d'eux-mêmes, et Gaulois dans la nôtre, habitent la troisième."
"Omnes hi differunt inter se lingua, institutis, legibus.","Tous ceux-ci diffèrent entre eux par la langue, les institutions, les lois."
"Flumen Garumna dividit Gallos ab Aquitanis, Matrona et Sequana a Belgis.","Le fleuve de la Garonne sépare les Gaulois des Aquitains, la Marne et la Seine les séparent des Belges."
"Belgæ sunt fortissimi omnium horum, propterea quod absunt longissime a cultu atque humanitate a cultu atque humanitate provinciæ, mercatoresque commeant ad eos minime sæpe, atque important ea.","Les Belges sont les plus braves de tous ceux-ci, parce que ils sont à-distance le plus loin de la civilisation et de la politesse de la province, et que des marchands vont chez eux le moins souvent, et importent le moins ces objets."
"que pertinent","qui tendent"
"ad effeminandos animos","à effeminer les âmes;"
"suntque proximi","et qu'ils sont les plus proches"
"Germanis,","des Germains,"
"qui incolunt","qui habitent"
"trans Rhenum,","an delà du Rhin,"
"quibuscum gerunt bellum","avec lesquels ils font la guerre"
"continenter :","continuellement :"
"de qua causa","pour laquelle cause"
"Helvetii quoque","les Helvètiens aussi"
"præcedunt virtute","dépassent en valeur"
"reliquos Gallos,","le reste-des Gaulois,"
"quod contendunt","parce qu'ils luttent"
"cum Germanis","avec les Germains"
"proelis fere quotidiani,","dans des combats presque quotidien,"
"quum aut prohibent eos","lorsque on ils écartent eux"
"suis finibus,","de leurs frontières,"
"aut ipsi gerunt bellum","ou eux-mêmes font la guerre"
"in finibus eorum.","sur les frontières d'eux (des Germains)."
"Una pars eorum,",Une partie d'eux (des habitants dela Gau-
"quam dictum est","laquelle il a été dit"
"Gallos obtinere,","les Gaulois occupor,"
"capit initium","prend son commencement"
"a flumine Rhodano;","au fleuve du Rhône;"
"continetur","elle est enfermée"
flumine Garumna,"par le fleuve de la Garonne,"
"Oceanum, finibus Belgarum;","l'Océan, les frontières des Belges;"
"attingit etiam","elle touche même"
"ab Sequanis et Helvetiis","du-côté-des Séquaniens et des Helvètiens"
"flumen Rhenum;","le fleuve du Rhin ;"
"vergit ad septentriones.","elle incline vers le septentrion."
"Belga orientur","Les Belges commencent"
"ab extremis finibus Galliæ;","aux extremes frontières de la Gaule ;"
"pertinent","ils s'étendent"
"ad partem inferiorem","vers la partie inférieure"
"fluminis Rheni;","du fleuve du Rhin ;"
"spectant in septentriones","ils regardent vers le septentrion"
"et solem orientem.","et le soleil levant."
"Aquitania pertinet","L'Aquitaine s'étend"
"ad montes Pyrenæos","du fleuve de la Garonne"
"ad montes Pyrenæos","aux monts Pyrénées"
"et eam partem Oceani","et a cette partie de l'Océan"
"que est ad Hispaniam;","qui est vers l'Espagne ;"
"spectat inter occasum solis","elle regarde entre le couché du soleil"
"et le septentrion.","et le septentrion."
"Apud Helvetios","II. Chez les Helvètiens"
"Orgetorix fuit longe","Orgétorix fut de loin (de berucoup)"
"nobilissimus et ditissimus.","le plus noble et le plus riche."
"Is, M. Messala","Celnï-ci, M. Messala"
"et M. Pison consulibus,","et M. Pison étant consuls,"
