Latin,Traduction française
"Esse in animo sibi facere iter per provinciam sine ullo maleficio, propterea quod haberent nullum aliud iter;",Être dans l'esprit à eux de faire route par la province sans aucun mal (sans faire de dégât);
rogare ut liceat sibi facere id voluntate ejus.,parce qu'ils n'avaient aucun autre chemin;
"Caesar, quod tenebat memoria",qu'il soit permis à eux de faire cela avec la volonté (le consentement) de lui.
L. Cassius consul,"César, parce qu'il gardait dans sa mémoire"
"occisum, exercitumque ejus","L. Cassius consul avoir été tué,"
pulsum et missum sub jugum,et l'armée de lui avoir été battue et envoyée sous le joug
"ab Helvetiis,","et envoyée sous le joug par les Helvètiens,"
non putabat concedendum;,ne pensait pas la chose devoir être accordée
neque existimabat,et il ne croyait pas
"homines animo inimico,","des hommes d'une âme ennemie,"
facultate faciendi itineris,la faculté de faire route
per provinciam,à travers la province
"data,","leur ayant été donnée,"
temperaturos ab injuria et maleficio.,devoir s'abstenir d'insulte et de dégât.
"Tamen, ut spatium posset intercedere,","Cependant, afin qu'un espace de temps pût se passer-dans-l'intervalle,"
dum milites,tandis que les soldats
quos imperaverat,qu'il avait commandés
"convenirent,","se rassemblèrent,"
respondit legatis,il répondit aux députés
se sumpturum diem,lui-même devoir prendre du temps
ad deliberandum;,pour délibérer;
"si vellent quid,","s'ils voulaient quelque chose,"
reverterentur,qu'ils revinssent
ante diem idus apriles.,le jour avant les ides d'avril.
VIII. Interea,le VIII. Cependant
"ea legione,","avec cette légion,"
"quam habebat secum,","qu'il avait avec lui-même,"
militibusque,et avec les soldats
qui convenerant,qui s'étaient réunis
"ex provincia,","venant de la province,"
perducit murum,il conduit un mur
sedecim pedum,de seize pieds
in altitudinem,en haut
fossamque,[suum et un fossé
decem novem millia pas-,pendant dix-neuf milliers de pas
"a lacu Lemanno,","depuis le lac Léman,"
