Latin,Français
"a majoribus, instraxit aciem","du plus grand camp,"
fecitque hostibus potestatem pugnandi.,il rangea sa ligne-de-bataille et fit (offrit) aux ennemis
"Ubi intellexit eos ne tum quidem prodire,",le pouvoir (l'occasion) de combattre.
circiter meridiem reduxit exercitum in castra.,Dès qu'il vit eux
"Tum demum Ariovistus misit partem suarum copiarum,","pas même alors s'avancer hors du camp,"
quae oppongnaret minora castra: pugnatum est acriter utrique,vers le midi
usque ad vesperum.,il ramena l'armée dans le camp.
"Occasu solis, multis vulneribus et illatis et acceptis,",Alors enfin Ariovistus
Ariovistus reduxit suas copias in castra.,"envoya une partie de ses troupes,"
Quum Cæsar,qui devait assaillir le petit camp :
quæreret ex captivis ob quam rem Ariovistus,on combattit vivement des-deux-parts
"nou decertaret prelio,",jusqu'au soir.
"reperiebat hanc causam,","Au coucher du soleil,"
"quod ea consuetudo est apud Germanos,",de nombreuses blessures
"est spud Germanos, ut matres familix eorum","et ayant été portées et ayant été reçues,"
"declararent sortibus et vaticinationibus utrum esset ex usu, necne,",Arioviste
proclium committi;,ramena ses troupes
eas dicere ita :,dans leur camp.
"Non esse fas Germanos superare,",Comme César
si contendissent proelio ante novam lunam. »,demandait aux captifs
LI. Postridie ejus diei,pour quel motif Arioviste
"Cæsar reliquit præsidio utrisque castris quod visum est esse satis,","ne luttait pas dans une bataille,"
"constituit in conspectu hostium pro minoribus castris omnes alarios,","il découvrait par les réponses cette raison,"
"était chez les Germains,",que cette coutume
que les mères de famille d'eux déclarassent,"était chez les Germains,"
par sortileges et divinations,que les mères de famille d'eux
"s'il était de l'utilité, ou-non,",déclarassent
la bataille être engagée;,par sortileges et divinations
et elles dire ainsi :,"s'il était de l'utilité, ou-non,"
« Ne pas être permis (possible),la bataille être engagée;
"les Germains être-vainqueurs,",et elles dire ainsi :
s'ils avaient lutté dans une bataille,« Ne pas être permis (possible)
avant la nouvelle lune. »,"les Germains être-vainqueurs,"
LI. Le lendemain de ce jour,s'ils avaient lutté dans une bataille
César laissa à (en) garnison à l'un-et-l'autre camp,avant la nouvelle lune. »
"que qui parut être assez, et placé",LI. Le lendemain de ce jour
en vue des ennemis,César laissa à (en) garnison à l'un-et-l'autre camp
devant le plus petit camp,"que qui parut être assez, et placé"
"tous les soldats-des-ailes,",en vue des ennemis
devant le plus petit camp,devant le plus petit camp
"tous les soldats-des-ailes,","tous les soldats-des-ailes,"
