Latin,Français
per medios fines,par le milieu-du territoire
Trevirorum,des Trévires
pertinet a flumine Rheno,s'étend depuis le fleuve du Rhin
"ad initium Remorum,","jusqu'au commencement des Rémois,"
parare bellum.,de préparer la guerre.
Sed posteaquam,Mais après que
nonnulli principes,quelques-uns-des principaux
"ex ea civitate,","de cette cité,"
et addicti,et ennemis (déterminés)
"familiaritate Cingetorigis,","par la parenté de (leur parenté aveo) Cingetorigis,"
et perterriti,et perterriti
"adventu nostri exercitus,","adventu nostri exercitus,"
"venerunt ad Cæsarem,","venuent ad Cæsarem,"
et coeperunt,et coeperunt
petere ab eo,petere ab eo
privatim,privatim
"de suis rebus,","de suis rebus,"
quoniam non possent,quoniam non possent
consulere civitati.,consulere civitati.
"Indutiomarus, veritus","Indutiomarus, veritus"
"ne desereretur ab omnibus,","ne desereretur ab omnibus,"
mittit legatos ad Cæsarem:,mittit legatos ad Cæsarem:
Sese noluisse,Sese noluisse
discedere ab suis,discedere ab suis
atque venire ad eum,atque venire ad eum
"ideirco,","ideirco,"
quo facilius,quo facilius
contineret civitatem,contineret civitatem
"in officio,","in officio,"
ne discessu,ne discessu
omnis nobilitatis,omnis nobilitatis
plebs laberetur,plebs laberetur
propter imprudentiam.,propter imprudentiam.
Itaque civitatem,Itaque civitatem
"esse in sun potestate,","esse in sun potestate,"
"seque, si Cæsar permitteret,","seque, si Cæsar permitteret,"
venturum ad eum,venturum ad eum
in castra,in castra
et permissurum fidei ejus,et permissurum fidei ejus
fortunas suas civitatisque.,fortunas suas civitatisque.
"IV. Cæsar,","IV. Cæsar,"
etsi intelligebat,etsi intelligebat
de qua causa,de qua causa
"ea dicerentur,","ea dicerentur,"
queque res deterreret eum,queque res deterreret eum
"a consilio instituto,","a consilio instituto,"
"tamen, ne cogeretur","tamen, ne cogeretur"
