Latin,Français
et bello illato,et la guerre ayant été apportée
"remanserunt ibi,","resterent là,"
atque cooperunt,et commencèrent
colere agros.,à cultiver des terres.
Multitudo hominum,La multitude des hommes (habitants)
est infinita,est immense
"sedificique creberrima,","[prochées],"
fere consimilia,et les habitations très-fréquentes (rap-
Gallicia :,aux habitations gauloises :
numerus pecorum magnus.,le nombre du bétail est grand.
Utuntur pro nummo,Ils servent pour monnaie
aut ere,ou de cuivre
"aut talis ferreis,","ou de des de-fer,"
examinatis,pesés
sed pondus certum.,selon un poids déterminé.
Plumbum album,Du plomb blanc (de l'étain)
nascitur ibi,nait là
in regionibus,dans les contrées
"mediterraneis,","du-milieu-des-terres,"
ferrum in maritimis;,du fer dans les contrées maritimes ;
sed copia ejus,mais la quantité de ce fer
est exigua :,est faible :
ntuntur ere importato.,Ils se servent de cuivre importé.
Materia cuiusque generis,Du bois de chaque essence
"est. ut in Gallia,","est chez eux, comme en Gaule,"
praeter fagum,excepté le hêtre
atque abietem.,et le sapin.
Non putant fus,Ils ne pensent pas qu'il soit permis
gustare leporem,de goûter (manger) du lièvre
et gallinam et anserem;,et de la poule et de l'oie;
altunt tamen hæo,ils nourrissent cependant ces animaux
causa animi,en vue de leur (par) caprice
voluptatisque.,et de leur (par) plaisir.
Loca sunt temperatiora,Les contrées sont plus tempérées
quam in Gallia.,"[tenses],"
frigoribus remissioribus.,"qu'en Gaule,"
XIII. Insula natura,les froids étant plus relâchés (moins in-
"triquetra,",XIII. L'île par sa nature
cojus unum latus,"est triangulaire,"
est contra Galliam.,de laquelle un côté
"Alter angulus hujuslateris,",est vis-à-vis la Gaule.
"qui est ad Cantium,","L'un-des-deux angles de ce côté,"
"qui est à Cantium,","qui est à Cantium,"
quo appelluntur,où abordent
fere omnes naves,à peu près tous les vaisseaux
"ex Gallia,","venant de la Gaule,"
spectat,regarde
"ad solem orientem,","vers le soleil levant,"
Latin,Français
et bello illato,et la guerre ayant été apportée
"remanserunt ibi,","resterent là,"
atque cooperunt,et commencèrent
colere agros.,à cultiver des terres.
Multitudo hominum,La multitude des hommes (habitants)
est infinita,est immense
"sedificique creberrima,","[prochées],"
fere consimilia,et les habitations très-fréquentes (rap-
Gallicia :,aux habitations gauloises :
numerus pecorum magnus.,le nombre du bétail est grand.
Utuntur pro nummo,Ils servent pour monnaie
aut ere,ou de cuivre
"aut talis ferreis,","ou de des de-fer,"
examinatis,pesés
sed pondus certum.,selon un poids déterminé.
Plumbum album,Du plomb blanc (de l'étain)
nascitur ibi,nait là
in regionibus,dans les contrées
"mediterraneis,","du-milieu-des-terres,"
ferrum in maritimis;,du fer dans les contrées maritimes ;
sed copia ejus,mais la quantité de ce fer
est exigua :,est faible :
ntuntur ere importato.,Ils se servent de cuivre importé.
Materia cuiusque generis,Du bois de chaque essence
"est. ut in Gallia,","est chez eux, comme en Gaule,"
praeter fagum,excepté le hêtre
atque abietem.,et le sapin.
Non putant fus,Ils ne pensent pas qu'il soit permis
gustare leporem,de goûter (manger) du lièvre
et gallinam et anserem;,et de la poule et de l'oie;
altunt tamen hæo,ils nourrissent cependant ces animaux
causa animi,en vue de leur (par) caprice
voluptatisque.,et de leur (par) plaisir.
Loca sunt temperatiora,Les contrées sont plus tempérées
quam in Gallia.,"[tenses],"
frigoribus remissioribus.,"qu'en Gaule,"
XIII. Insula natura,les froids étant plus relâchés (moins in-
"triquetra,",XIII. L'île par sa nature
cojus unum latus,"est triangulaire,"
est contra Galliam.,de laquelle un côté
"Alter angulus hujuslateris,",est vis-à-vis la Gaule.
"qui est ad Cantium,","L'un-des-deux angles de ce côté,"
"qui est à Cantium,","qui est à Cantium,"
quo appelluntur,où abordent
fere omnes naves,à peu près tous les vaisseaux
"ex Gallia,","venant de la Gaule,"
spectat,regarde
"ad solem orientem,","vers le soleil levant,"
